RespondentID,Date,Question,Answer,Region,AgeGroup,Gender
2bb4ab01-58c6-45ab-8ee4-5b043b95ef99,2026-04-10,Which feature should we prioritize next?,Mobile App,Central,45-54,Male
b03dd63a-e0ac-4989-bc29-a166af94f6a2,2026-03-25,Which feature should we prioritize next?,Dark Mode,West,18-24,Female
d05d8100-2653-4755-9105-22950bfaa5cd,2026-03-30,Which feature should we prioritize next?,Dark Mode,North,25-34,Female
f918d4e9-c78a-440e-b100-eb88498c75d2,2026-04-04,Which feature should we prioritize next?,Export to PDF,West,18-24,Male
3f8e6630-70c9-45f3-9342-d7d9f354d30e,2026-03-19,Which feature should we prioritize next?,Export to PDF,East,25-34,Male
f2d5966f-2a28-4a29-98d6-f09b56c7d0d8,2026-04-16,Which feature should we prioritize next?,Mobile App,East,45-54,Male
a2fea580-00ea-4e5f-ae16-a8edb38f5c53,2026-04-03,Which feature should we prioritize next?,Dark Mode,West,35-44,Female
beec98ec-c57f-4e10-b9d0-923f83d532a0,2026-04-16,Which feature should we prioritize next?,Export to PDF,Central,25-34,Female
4733e5d0-bb5d-41f9-8563-32395c063839,2026-04-04,Which feature should we prioritize next?,Export to PDF,Central,25-34,Male
c4a17d16-7052-4d08-bb0f-d9c8a1f3cd10,2026-04-04,Which feature should we prioritize next?,Dark Mode,East,18-24,Female
c060159e-18db-4032-b812-daa102453d98,2026-03-20,Which feature should we prioritize next?,Mobile App,South,25-34,Female
c74e808d-d94f-49ca-857f-fea1f5deebac,2026-04-02,Which feature should we prioritize next?,Dark Mode,Central,35-44,Male
772a590f-1300-4b43-aa83-f361e7465a23,2026-04-07,Which feature should we prioritize next?,Dark Mode,West,55+,Female
2f669aef-0e37-463e-95cc-c7f9967ebd43,2026-03-26,Which feature should we prioritize next?,Real-time Sync,Central,45-54,Female
9e8ef38a-342d-4eb7-8986-ea12a89a17e4,2026-04-06,Which feature should we prioritize next?,Real-time Sync,West,18-24,Male
0d24e936-8a1c-4f92-b7cc-c35c225d847a,2026-04-09,Which feature should we prioritize next?,API Access,East,45-54,Male
1f67416d-3cea-4ab3-85bf-8345157c2b3b,2026-03-23,Which feature should we prioritize next?,Dark Mode,Central,45-54,Female
5e6f54a3-0244-42c4-970f-638719cd9883,2026-03-22,Which feature should we prioritize next?,Dark Mode,West,45-54,Female
a6c72498-2f4e-46d7-8a0f-2a28445d78fc,2026-03-21,Which feature should we prioritize next?,Mobile App,East,35-44,Female
2e698775-08e2-4c20-881c-b2c587d7b6b8,2026-04-10,Which feature should we prioritize next?,Export to PDF,South,25-34,Female
fcee45c1-55b3-4f07-ba1d-80c6ec8f0237,2026-04-15,Which feature should we prioritize next?,Dark Mode,West,25-34,Female
dc1c651a-fd37-4005-b654-5188940d44e2,2026-03-21,Which feature should we prioritize next?,Export to PDF,South,18-24,Male
646e7e34-68cc-43c1-9acd-9fe238a9c366,2026-04-07,Which feature should we prioritize next?,Dark Mode,South,25-34,Female
bc0b5014-2387-4e95-a7ae-79413d0381da,2026-03-22,Which feature should we prioritize next?,API Access,North,25-34,Male
c1bcb1c7-6268-418e-bb1b-c0d3106a4730,2026-04-02,Which feature should we prioritize next?,Dark Mode,Central,35-44,Male
f147a864-47ec-4922-aab1-ce48ca83a98a,2026-03-24,Which feature should we prioritize next?,Mobile App,West,45-54,Female
49d31c83-211a-4a29-952d-f1674d0a7011,2026-03-21,Which feature should we prioritize next?,Dark Mode,South,35-44,Female
efe69853-60df-4c5e-9fb0-a0c6c82e113f,2026-03-28,Which feature should we prioritize next?,Export to PDF,North,18-24,Male
e7c536af-9976-499c-b5b9-72bc68dd03d6,2026-04-14,Which feature should we prioritize next?,Export to PDF,East,55+,Female
0e69bfbc-247a-44b2-b30a-fa485ccabcc8,2026-04-02,Which feature should we prioritize next?,Dark Mode,West,55+,Male
ed2ec76d-27c9-466f-a9b6-ccbf0d33514c,2026-04-03,Which feature should we prioritize next?,Real-time Sync,South,45-54,Male
205de8a5-4bc7-4a0c-9cf5-33deac72279d,2026-03-25,Which feature should we prioritize next?,Mobile App,Central,55+,Male
8ce06b37-f550-46f8-824b-8e97c1cd76e1,2026-03-27,Which feature should we prioritize next?,Real-time Sync,North,35-44,Female
117f96cf-fa4d-43ad-910d-ed32f6b25621,2026-04-04,Which feature should we prioritize next?,API Access,South,55+,Female
21f17ec6-ffde-435b-843d-56ded7bba7fd,2026-04-07,Which feature should we prioritize next?,Export to PDF,Central,18-24,Male
34927fee-8ce0-4401-9b8b-35dc21c8eb60,2026-03-26,Which feature should we prioritize next?,Real-time Sync,South,25-34,Female
5836a912-155a-4139-9727-7773433e5993,2026-04-12,Which feature should we prioritize next?,Dark Mode,West,25-34,Male
d3a9c3b8-717e-4dac-8ae6-ccb58a314375,2026-04-06,Which feature should we prioritize next?,Dark Mode,West,25-34,Female
626c5947-0cbd-4b80-9176-a4026480bb79,2026-04-12,Which feature should we prioritize next?,Dark Mode,West,18-24,Male
8a3f5b06-ace6-480c-9c10-1a5b490cd6e4,2026-04-13,Which feature should we prioritize next?,Dark Mode,North,35-44,Male
bda43965-a5ee-4984-aa2a-afcf7d210b1b,2026-03-28,Which feature should we prioritize next?,Export to PDF,West,45-54,Female
7d65dba6-dd97-408d-a3e8-a3ae5a96ced3,2026-04-03,Which feature should we prioritize next?,Dark Mode,Central,35-44,Male
a825bc5f-4fea-42c5-a072-7e3c14827b5f,2026-03-23,Which feature should we prioritize next?,API Access,South,18-24,Male
f625934d-5b0f-4e2f-b84f-2ea06ed0285e,2026-03-20,Which feature should we prioritize next?,Export to PDF,East,45-54,Female
802d0bb7-3a01-4d6b-b880-48dfe14207de,2026-03-21,Which feature should we prioritize next?,Dark Mode,Central,35-44,Other
d9fe06e3-ba90-4560-af4f-8f647d8b49ba,2026-04-15,Which feature should we prioritize next?,Export to PDF,Central,25-34,Male
8bb7c8e7-ae5e-4fa9-a42d-f4b7ab1610b8,2026-03-19,Which feature should we prioritize next?,Dark Mode,West,35-44,Male
a8039a04-3b1d-4432-9363-bd0b2a799936,2026-03-28,Which feature should we prioritize next?,API Access,North,25-34,Male
30cb2758-88a7-4c3d-9559-9de4f53024c8,2026-04-02,Which feature should we prioritize next?,Dark Mode,South,25-34,Female
70e3418b-35ab-4188-a148-86b6b7451cd1,2026-04-15,Which feature should we prioritize next?,Real-time Sync,North,55+,Male
f9e2ddd3-ef02-4e2a-967d-41fca3c94e67,2026-03-28,Which feature should we prioritize next?,Dark Mode,South,25-34,Female
79835b45-d50f-447b-868d-b25fb6df3889,2026-03-21,Which feature should we prioritize next?,Dark Mode,South,35-44,Other
ccc5ba71-7d88-4aac-a05a-fdb62541e810,2026-04-07,Which feature should we prioritize next?,Dark Mode,North,45-54,Male
ac685063-5cbe-4689-90eb-03aa95815e4c,2026-04-05,Which feature should we prioritize next?,API Access,Central,45-54,Male
9d2190dc-988b-4f25-b0cd-b2013c5343af,2026-03-27,Which feature should we prioritize next?,Mobile App,South,18-24,Male
e52e50f6-3ec1-46ff-a573-c361e64e10cf,2026-04-08,Which feature should we prioritize next?,Mobile App,North,18-24,Male
d7aa4792-de83-4ff8-84f2-07d7e33f9fbe,2026-04-07,Which feature should we prioritize next?,Mobile App,South,18-24,Female
5048fd4e-4b96-41ff-aba1-25194fdf2294,2026-04-15,Which feature should we prioritize next?,Dark Mode,East,35-44,Male
63074b36-339e-4237-9fab-de404864e01c,2026-04-08,Which feature should we prioritize next?,Export to PDF,Central,25-34,Male
7c68cbd3-e4f4-4dac-bbc2-c55750c9c166,2026-03-19,Which feature should we prioritize next?,Dark Mode,West,18-24,Female
458279f5-fe9e-4873-951d-fa6baac23cd9,2026-04-08,Which feature should we prioritize next?,API Access,South,55+,Male
94bd0f49-d866-4fa4-91c9-e19e89892e15,2026-04-06,Which feature should we prioritize next?,Mobile App,East,35-44,Female
75562cbb-e7fe-4727-b58d-4eabe86243c0,2026-04-09,Which feature should we prioritize next?,Dark Mode,West,25-34,Male
37d8c68e-1d3d-4fa0-a95b-a9cc65fdeeec,2026-03-26,Which feature should we prioritize next?,Dark Mode,West,35-44,Female
db6db7dd-e36a-4b03-ba9a-0d683fd25d59,2026-03-31,Which feature should we prioritize next?,Dark Mode,South,35-44,Female
ba31a4d8-0f2a-46b5-81c3-1cbb49b2aecb,2026-03-26,Which feature should we prioritize next?,Dark Mode,North,18-24,Female
9574b671-21d7-440b-b400-a2a3d9ad3073,2026-04-03,Which feature should we prioritize next?,Mobile App,South,25-34,Female
683a9b9b-cbab-4ff0-bad8-662a6da91586,2026-04-05,Which feature should we prioritize next?,Mobile App,East,45-54,Male
c324dc44-722f-4770-909c-7c4fe73bac86,2026-04-13,Which feature should we prioritize next?,API Access,West,35-44,Male
6d12cef8-889c-4aaa-84f6-14e2f7b95bd2,2026-04-13,Which feature should we prioritize next?,Export to PDF,South,35-44,Female
7dc862f8-ab74-4bbb-8543-3b2ff07aea65,2026-04-07,Which feature should we prioritize next?,Dark Mode,North,25-34,Female
2ce93e0c-be9b-4e9d-b806-db28e28ed102,2026-04-07,Which feature should we prioritize next?,Mobile App,South,18-24,Male
82c2b7ab-faba-4ff3-bfa6-680c4372093a,2026-03-22,Which feature should we prioritize next?,Mobile App,Central,25-34,Male
4c564f0e-b81a-49d2-9782-11451f5d35f6,2026-03-24,Which feature should we prioritize next?,Export to PDF,North,25-34,Male
2faa28b0-eb98-4746-894a-4acb44ff030a,2026-03-24,Which feature should we prioritize next?,Dark Mode,East,25-34,Male
32d99f5b-35d7-4c14-99ab-a0c89419d600,2026-03-18,Which feature should we prioritize next?,Export to PDF,West,18-24,Male
5519c49a-b119-4da2-9a8c-ff28f247b6d2,2026-04-11,Which feature should we prioritize next?,Export to PDF,South,45-54,Female
d9bf948b-1204-4a5e-a85f-4e092da6c787,2026-03-23,Which feature should we prioritize next?,Export to PDF,North,55+,Male
99c5f704-989c-4142-b9f3-d8f2e6c521c1,2026-04-12,Which feature should we prioritize next?,Dark Mode,Central,45-54,Male
9ce6c7d2-c2ca-43b0-a496-366d71018917,2026-04-15,Which feature should we prioritize next?,Dark Mode,North,45-54,Female
3ebf72a5-a926-4743-9fce-4b44439d7c66,2026-03-25,Which feature should we prioritize next?,Dark Mode,Central,25-34,Female
1738cdb2-03ee-47f9-8c0f-34f976636bf6,2026-04-10,Which feature should we prioritize next?,Mobile App,East,55+,Female
6b06566c-cee5-4984-815b-e0520d14eb03,2026-04-13,Which feature should we prioritize next?,Dark Mode,West,25-34,Female
7b7142a2-57f6-456d-9867-554a4e76f1fb,2026-03-18,Which feature should we prioritize next?,Export to PDF,East,55+,Male
49b163c1-abb6-4739-aec4-a8bcc68f58a5,2026-04-04,Which feature should we prioritize next?,API Access,South,55+,Female
6e101be1-693f-4163-9bc2-63b52532cec7,2026-04-16,Which feature should we prioritize next?,Dark Mode,North,45-54,Female
bb4eb22d-73a4-4ba4-bec3-e4bdab5dd5ea,2026-04-06,Which feature should we prioritize next?,Export to PDF,Central,55+,Male
9d36b677-e858-46a9-bf03-7360f5e92b61,2026-03-22,Which feature should we prioritize next?,Mobile App,Central,35-44,Female
a7cdc74c-11f9-4842-9d56-a3ac42d534b9,2026-04-14,Which feature should we prioritize next?,Dark Mode,North,25-34,Female
bd25ae92-0c36-4965-8502-13cee2564b85,2026-04-16,Which feature should we prioritize next?,Dark Mode,North,25-34,Male
0a5c9791-7ecf-4c98-967d-e58cfa49e458,2026-03-31,Which feature should we prioritize next?,Dark Mode,South,35-44,Male
38c7f134-bab2-4231-a195-61cb6a276050,2026-03-30,Which feature should we prioritize next?,Dark Mode,East,18-24,Male
6e1c10b0-e2d6-4b9c-ae8c-4199bdc14ca4,2026-03-28,Which feature should we prioritize next?,Real-time Sync,Central,35-44,Male
b3cb89af-a879-48b5-83b2-0c979261c79b,2026-03-25,Which feature should we prioritize next?,API Access,South,55+,Male
02968bfe-5af5-4c4c-8575-9d9d519a01d2,2026-04-14,Which feature should we prioritize next?,Mobile App,East,25-34,Female
d54bdcb3-42a3-440e-a949-56c9a9128e66,2026-04-03,Which feature should we prioritize next?,API Access,South,45-54,Male
83bb887d-65d6-4176-89b5-5f77030d7cf4,2026-03-29,Which feature should we prioritize next?,API Access,Central,55+,Female
856d8917-d469-4b43-bacb-d9119b281a3d,2026-04-09,Which feature should we prioritize next?,Dark Mode,North,55+,Female
5af730f3-b011-4b23-8101-adc61bc0456c,2026-04-03,Which feature should we prioritize next?,API Access,North,55+,Female
da8a6dcd-b17e-4252-906d-7e6bab29b4a2,2026-03-30,Which feature should we prioritize next?,Export to PDF,East,35-44,Female
e1d73da6-c071-4467-a1bd-7e401ac27d14,2026-03-19,Which feature should we prioritize next?,API Access,West,55+,Male
f0c22ace-7e03-4a61-a8df-248ca4852f7d,2026-04-04,Which feature should we prioritize next?,API Access,East,45-54,Male
8bbb3a5c-2f73-4fb7-8f91-b1b17ffaa0da,2026-03-29,Which feature should we prioritize next?,Dark Mode,West,25-34,Female
3d6f6ca4-4056-4194-b8e8-603d0992e32f,2026-03-24,Which feature should we prioritize next?,Dark Mode,South,35-44,Female
9150a7b7-25a4-4652-8f05-896cdd265a76,2026-03-24,Which feature should we prioritize next?,Dark Mode,South,45-54,Female
d36739f2-9ed3-49fd-bafd-8976cf3f81fd,2026-04-07,Which feature should we prioritize next?,Export to PDF,Central,25-34,Male
028f89a0-110d-4f42-b950-39189c7c4cae,2026-04-10,Which feature should we prioritize next?,API Access,West,35-44,Female
90048fcc-02a0-45f0-8be6-a06a6c0ff057,2026-04-03,Which feature should we prioritize next?,API Access,Central,35-44,Male
09c00b26-babe-4a52-9524-9396c5f3e4be,2026-03-28,Which feature should we prioritize next?,Dark Mode,North,25-34,Female
f55c9f0b-d532-489a-b350-2c78748978b7,2026-03-19,Which feature should we prioritize next?,Export to PDF,West,35-44,Other
02ab93b3-26c2-4037-bcea-9de732eed8e7,2026-03-18,Which feature should we prioritize next?,Export to PDF,East,45-54,Male
3074f44d-151e-48b5-9079-75c46418d26d,2026-03-23,Which feature should we prioritize next?,Dark Mode,North,35-44,Female
3d5f8ac8-34b0-4146-9406-b1dd2ed75bfb,2026-04-13,Which feature should we prioritize next?,Dark Mode,North,18-24,Male
1c149504-89f2-424c-ac93-4431932b3b1e,2026-03-23,Which feature should we prioritize next?,Dark Mode,East,18-24,Male
0544bdb6-330e-4209-89b7-229c79e2eb1a,2026-03-23,Which feature should we prioritize next?,Real-time Sync,North,25-34,Female
e9c84f60-a566-4d01-99fa-3fb2d6db6d13,2026-04-16,Which feature should we prioritize next?,Dark Mode,West,55+,Female
e9ad1801-e348-42fe-9210-ab3628e70fc9,2026-03-26,Which feature should we prioritize next?,Export to PDF,Central,25-34,Female
fc7da61a-3525-4e12-8b9e-0cbe7bd8824b,2026-04-04,Which feature should we prioritize next?,Mobile App,North,35-44,Female
fd766d9c-b4bf-4223-9e2f-58cc4da9ace3,2026-04-04,Which feature should we prioritize next?,Export to PDF,West,25-34,Female
836d91ab-cb60-4dfd-9f1b-2d6f0572ad59,2026-04-16,Which feature should we prioritize next?,Real-time Sync,South,25-34,Female
50d22a79-a66d-449f-8894-f4d0c65c1bb3,2026-04-12,Which feature should we prioritize next?,Real-time Sync,West,45-54,Female
f13737f4-a96a-41d2-bf3d-28aa6eb50187,2026-03-18,Which feature should we prioritize next?,Dark Mode,Central,45-54,Male
bfcdd1ee-32ab-4bb8-8eda-336661cf223e,2026-03-23,Which feature should we prioritize next?,Export to PDF,West,18-24,Other
69d5ee98-91d1-4149-88e2-d671406fd4c1,2026-03-27,Which feature should we prioritize next?,Dark Mode,East,25-34,Male
d7d207fd-888f-4e7b-b7f6-47d2775992a5,2026-04-08,Which feature should we prioritize next?,Dark Mode,Central,18-24,Female
48f23249-640b-4f0d-a23b-c199fae83e82,2026-03-20,Which feature should we prioritize next?,Dark Mode,South,35-44,Male
32304eb9-abc5-4011-a7cc-ae384d072b0f,2026-04-10,Which feature should we prioritize next?,Mobile App,East,35-44,Male
be50030c-7a0f-4341-b639-b4d6c3bbfe6f,2026-04-01,Which feature should we prioritize next?,Export to PDF,West,18-24,Male
ca5f560d-53df-432e-bfa6-3d6dacc3c83e,2026-04-03,Which feature should we prioritize next?,Dark Mode,Central,25-34,Female
7c216817-4b3d-4164-8ae7-787c8ef9e02d,2026-03-22,Which feature should we prioritize next?,Dark Mode,South,25-34,Male
7e0f5869-d5d7-43c0-ba3e-049cc800522e,2026-04-06,Which feature should we prioritize next?,API Access,East,55+,Male
fe88e34b-9685-47c2-8c0e-9b6e89db1134,2026-04-07,Which feature should we prioritize next?,Dark Mode,South,55+,Female
57f27c58-886a-46e8-83a3-8ebef35c16b6,2026-04-10,Which feature should we prioritize next?,Dark Mode,West,18-24,Female
7efa6167-8a5e-4157-b06d-918f01facaa0,2026-04-08,Which feature should we prioritize next?,Export to PDF,South,45-54,Male
734d5dd0-0626-4e52-b63f-319d94156833,2026-03-23,Which feature should we prioritize next?,Real-time Sync,North,25-34,Male
64159866-b11c-4afe-842b-b2167ad9aa2c,2026-03-20,Which feature should we prioritize next?,Dark Mode,East,25-34,Male
5b330143-0d8f-4486-bab6-c9e2b4c2d556,2026-03-18,Which feature should we prioritize next?,Mobile App,South,45-54,Male
e661cb2e-7149-49b3-990b-72feb0c64d8c,2026-03-30,Which feature should we prioritize next?,Mobile App,West,55+,Female
b0ae6da2-b9ba-4a2e-9c0b-3ae1615bc508,2026-04-15,Which feature should we prioritize next?,Dark Mode,West,55+,Female
093ff420-abb6-43a2-88b0-a0b09a4b3a53,2026-04-03,Which feature should we prioritize next?,Mobile App,South,35-44,Female
15d94efc-b6d2-42a6-8721-df9eb0588c3c,2026-03-27,Which feature should we prioritize next?,Export to PDF,West,25-34,Male
27909a39-6787-4ce4-9eca-e1319a0733a6,2026-04-10,Which feature should we prioritize next?,Mobile App,Central,45-54,Female
e6ed4a71-f181-42a1-996b-d4ac18b32ea8,2026-03-21,Which feature should we prioritize next?,Mobile App,Central,25-34,Female
3a3edccf-7082-4bd9-ac3d-c9206fb845c7,2026-03-30,Which feature should we prioritize next?,Export to PDF,Central,35-44,Female
bf506240-6068-49b8-b226-5c13a872e3b8,2026-03-23,Which feature should we prioritize next?,Dark Mode,North,25-34,Female
8703cc96-6b9c-4872-bc49-e5e5795e6ba0,2026-03-21,Which feature should we prioritize next?,API Access,South,35-44,Female
70dcc855-2325-4182-828e-a2f22f7991f9,2026-03-19,Which feature should we prioritize next?,Dark Mode,North,25-34,Female
0ce09d29-0a56-481a-9e6b-28f888dd96c0,2026-04-01,Which feature should we prioritize next?,Dark Mode,West,25-34,Male
d0482fd8-9747-4dea-8f8a-3fd42232ab64,2026-04-14,Which feature should we prioritize next?,Dark Mode,North,55+,Female
de38f034-c321-42cc-be49-267e608941f4,2026-03-27,Which feature should we prioritize next?,Export to PDF,West,18-24,Female
ca1f2716-2313-47c6-9426-5de62abf23bb,2026-03-22,Which feature should we prioritize next?,Mobile App,West,35-44,Female
e313274f-cc28-42dc-9a9e-3baff999a9e3,2026-04-10,Which feature should we prioritize next?,Dark Mode,East,25-34,Male
13f889d6-ad74-4895-8353-dd0f2b7484f2,2026-04-09,Which feature should we prioritize next?,Export to PDF,Central,18-24,Female
841389e5-e60f-4cce-8678-08217e59c39c,2026-03-21,Which feature should we prioritize next?,Dark Mode,West,18-24,Female
04f3cb76-44ba-43f1-9844-e1e6ad90044e,2026-04-12,Which feature should we prioritize next?,Mobile App,East,25-34,Male
c6d60263-12b6-4902-bf6a-cab1cf7e06bd,2026-04-08,Which feature should we prioritize next?,Dark Mode,Central,45-54,Male
b363481f-07de-4627-a5d1-2a34ae2858e4,2026-04-05,Which feature should we prioritize next?,Dark Mode,West,25-34,Female
1b8c3fe6-61ee-4df2-aff8-429d09154f15,2026-04-14,Which feature should we prioritize next?,Export to PDF,West,55+,Female
b008ecbe-e391-4151-b6b8-076f45ff7ce7,2026-03-23,Which feature should we prioritize next?,Real-time Sync,North,35-44,Female
076ec3bd-c5fb-4012-9fa0-0d3caa8e765b,2026-04-10,Which feature should we prioritize next?,Dark Mode,North,25-34,Male
18e5f1f2-b8c9-48ad-8120-8d6992e97379,2026-03-31,Which feature should we prioritize next?,Dark Mode,Central,35-44,Female
21cbfb51-91fb-4339-acf8-9c94d7afed91,2026-03-28,Which feature should we prioritize next?,Dark Mode,West,35-44,Male
8483f6fb-4b78-41e3-a7ba-249cc75e9faa,2026-03-24,Which feature should we prioritize next?,Real-time Sync,South,45-54,Male
d51d50c6-aa8c-4dcb-b2de-a498235d9c37,2026-04-15,Which feature should we prioritize next?,API Access,North,25-34,Male
c82c9936-ae28-4f49-a245-43ded3cf6f90,2026-03-27,Which feature should we prioritize next?,Dark Mode,Central,25-34,Male
b0266211-8558-46d6-87ad-65d102dcd864,2026-03-26,Which feature should we prioritize next?,Mobile App,West,45-54,Male
ec4245a8-fd15-4e5a-b749-7f4f6fc0784e,2026-04-01,Which feature should we prioritize next?,API Access,West,55+,Male
62579e87-297e-4120-abc3-20fb9305c92a,2026-03-19,Which feature should we prioritize next?,Export to PDF,South,45-54,Male
10e8f853-0558-4a24-835b-8f6c7a352ebe,2026-03-31,Which feature should we prioritize next?,Export to PDF,Central,25-34,Male
f2944d10-6796-4c28-864f-43e048a8e733,2026-04-09,Which feature should we prioritize next?,Dark Mode,West,45-54,Female
a5cf0327-3f6c-4ac7-916e-15fcf0be3bc3,2026-03-25,Which feature should we prioritize next?,Dark Mode,North,35-44,Female
886e748c-92b1-40b4-8427-1409cf0a7da4,2026-03-27,Which feature should we prioritize next?,API Access,South,35-44,Male
56803661-f3de-47bf-ae0c-3816f5cdc52a,2026-04-01,Which feature should we prioritize next?,API Access,Central,25-34,Female
6c8c6bab-5a91-4c1b-a56f-e71d4a0e0f13,2026-03-19,Which feature should we prioritize next?,Mobile App,South,35-44,Male
70fb1951-a61b-4b1e-9629-695329ec7dfe,2026-04-05,Which feature should we prioritize next?,Dark Mode,North,25-34,Female
a72d890d-2601-44f6-ba70-a29c17eedf14,2026-03-20,Which feature should we prioritize next?,Dark Mode,Central,25-34,Male
ed6af9ce-d26b-415e-ad4b-f1824827cfc0,2026-03-25,Which feature should we prioritize next?,Mobile App,South,45-54,Male
b24d5456-524e-43d9-87cb-8e1bca26327b,2026-04-15,Which feature should we prioritize next?,API Access,East,25-34,Female
6990c3e4-6bc1-4b1e-83cd-de4b72f24678,2026-04-09,Which feature should we prioritize next?,API Access,North,18-24,Female
57156d43-e480-487f-a6c5-7099a172dd10,2026-03-19,Which feature should we prioritize next?,Mobile App,North,18-24,Female
c86ded34-c784-4891-83f2-6c4b40c00633,2026-03-21,Which feature should we prioritize next?,Mobile App,North,55+,Female
d236a495-78c4-4b62-ac5f-cf635238409a,2026-04-11,Which feature should we prioritize next?,Dark Mode,East,35-44,Female
02956471-a5f4-43b3-97d0-8e45ba9424a4,2026-04-03,Which feature should we prioritize next?,Dark Mode,East,25-34,Male
9dff3d4e-2b1b-41a6-8332-c0584b7cae01,2026-04-15,Which feature should we prioritize next?,API Access,West,45-54,Male
9ee73883-72fd-4208-9c16-b567e18b4253,2026-04-06,Which feature should we prioritize next?,Mobile App,South,45-54,Male
5af07c2f-1200-4789-9be6-bbbf3b74bad5,2026-03-22,Which feature should we prioritize next?,Dark Mode,West,25-34,Male
df9b51c8-2ada-4f73-a4ee-c81e2f67c3bc,2026-03-18,Which feature should we prioritize next?,Dark Mode,South,35-44,Female
3c51bb9f-3565-466a-a98b-c5e98bb35f07,2026-03-28,Which feature should we prioritize next?,Mobile App,East,45-54,Female
9e29ac24-862c-4dec-aa99-995ace0f90e5,2026-04-09,Which feature should we prioritize next?,Dark Mode,East,35-44,Male
924cd6cd-d8d1-42d8-800b-b7efd30b0a6c,2026-03-29,Which feature should we prioritize next?,Dark Mode,West,25-34,Female
1612a8f2-b566-445d-80b5-41f2914f566f,2026-04-05,Which feature should we prioritize next?,Export to PDF,Central,45-54,Female
184e166e-147b-48b1-b962-ce5f923fdc82,2026-04-14,Which feature should we prioritize next?,Mobile App,West,35-44,Male
10ee10e1-a1f1-4350-ae48-a6dc37cbde7a,2026-03-26,Which feature should we prioritize next?,Mobile App,South,25-34,Male
7b25cf51-009b-4880-b653-8b01947ebc56,2026-04-03,Which feature should we prioritize next?,Dark Mode,West,25-34,Male
0484b7ec-eb7a-4d86-86fb-c481ad4d1200,2026-04-01,Which feature should we prioritize next?,Mobile App,North,18-24,Male
d61042e5-2694-41e1-8264-6803725c5a1b,2026-04-01,Which feature should we prioritize next?,Dark Mode,South,18-24,Male
fd733b84-15ec-4912-8d1b-82ffaf8b77d5,2026-03-19,Which feature should we prioritize next?,Dark Mode,South,45-54,Female
4689067a-c9a9-4316-9236-bd2281f2d680,2026-03-23,Which feature should we prioritize next?,Mobile App,Central,18-24,Male
8eab6a5b-3eef-42cd-b18f-ac3978f42ee7,2026-03-28,Which feature should we prioritize next?,Mobile App,East,25-34,Male
0f7df6f8-0de4-46d1-8bbd-7958303f8729,2026-03-30,Which feature should we prioritize next?,API Access,South,35-44,Other
23848b60-c517-4bdb-82f2-4e70db00e250,2026-03-28,Which feature should we prioritize next?,Dark Mode,East,18-24,Female
